feature,importance,category
wavelet_energy_0_mean_rolling_mean_5,0.03860364109277725,ROLLING_MEAN
mad_mean,0.033424489200115204,STATIC
min_max,0.029184481129050255,STATIC
iqr_mean,0.0193498432636261,STATIC
petrosian_fd_max_lag3,0.018440354615449905,LAG3
iqr_mean_rolling_mean_5,0.016669724136590958,ROLLING_MEAN
min_max_rolling_mean_5,0.015553345903754234,ROLLING_MEAN
delta_power_mean_rolling_mean_5,0.014281487092375755,ROLLING_MEAN
wavelet_energy_4_mean_rolling_mean_5,0.013062214478850365,ROLLING_MEAN
zero_crossings_max_lag3,0.012655542232096195,LAG3
sample_entropy_mean_rolling_mean_5,0.012626662850379944,ROLLING_MEAN
perm_entropy_max_lag3,0.008952978067100048,LAG3
zero_crossings_mean_rolling_mean_5,0.008649750612676144,ROLLING_MEAN
gamma_power_mean,0.007578288204967976,STATIC
beta_relative_std_rolling_mean_5,0.007359080016613007,ROLLING_MEAN
wavelet_energy_3_max_rolling_mean_5,0.007346819154918194,ROLLING_MEAN
perm_entropy_mean_stability_5,0.006285443436354399,STABILITY
zero_crossings_max_rolling_mean_5,0.006076456513255835,ROLLING_MEAN
petrosian_fd_mean_stability_5,0.006028799805790186,STABILITY
wavelet_energy_4_max_lag1,0.0059665716253221035,LAG1
gamma_relative_max,0.005716220010071993,STATIC
gamma_relative_std,0.005577962379902601,STATIC
petrosian_fd_max,0.005431527271866798,STATIC
petrosian_fd_max_lag1,0.005393492057919502,LAG1
petrosian_fd_max_rolling_mean_5,0.005293786991387606,ROLLING_MEAN
gamma_relative_mean_rolling_mean_5,0.005275486037135124,ROLLING_MEAN
wavelet_energy_1_mean_rolling_mean_5,0.005190133582800627,ROLLING_MEAN
wavelet_energy_4_max,0.004993097390979528,STATIC
theta_relative_mean_rolling_mean_5,0.004840346053242683,ROLLING_MEAN
sample_entropy_mean_lag1,0.004770420491695404,LAG1
petrosian_fd_mean_lag3,0.004709830041974783,LAG3
line_length_max_rolling_mean_5,0.004704634193331003,ROLLING_MEAN
mad_max_rolling_mean_5,0.004544964991509914,ROLLING_MEAN
gamma_relative_std_lag1,0.004507798235863447,LAG1
mad_mean_rolling_mean_5,0.0044981371611356735,ROLLING_MEAN
variance_max_lag1,0.004497966729104519,LAG1
gamma_relative_std_lag3,0.004476569127291441,LAG3
perm_entropy_max_rolling_mean_5,0.004350458271801472,ROLLING_MEAN
wavelet_energy_3_mean,0.004289189353585243,STATIC
perm_entropy_max,0.004271602723747492,STATIC
zero_crossings_max_lag1,0.0042112767696380615,LAG1
higuchi_fd_std_lag1,0.004107940476387739,LAG1
wavelet_energy_3_mean_lag1,0.004081429447978735,LAG1
wavelet_energy_4_mean,0.0037712971679866314,STATIC
gamma_power_mean_rolling_mean_5,0.003676333464682102,ROLLING_MEAN
petrosian_fd_mean_rolling_mean_5,0.0036763253156095743,ROLLING_MEAN
higuchi_fd_std_rolling_mean_5,0.0036265954840928316,ROLLING_MEAN
higuchi_fd_mean,0.00360216130502522,STATIC
higuchi_fd_std_lag3,0.00357825611717999,LAG3
theta_relative_mean,0.0034828558564186096,STATIC
gamma_relative_std_rolling_mean_5,0.003478736849501729,ROLLING_MEAN
petrosian_fd_mean,0.0034255252685397863,STATIC
perm_entropy_mean_lag3,0.0034036911092698574,LAG3
higuchi_fd_mean_rolling_mean_5,0.0033830231986939907,ROLLING_MEAN
higuchi_fd_max,0.00337955541908741,STATIC
higuchi_fd_std,0.003354057902470231,STATIC
beta_power_std_rolling_mean_5,0.00326645583845675,ROLLING_MEAN
beta_power_max_rolling_mean_5,0.0032577388919889927,ROLLING_MEAN
zero_crossings_std_rolling_mean_5,0.0032540163956582546,ROLLING_MEAN
beta_relative_std,0.0032159185502678156,STATIC
wavelet_energy_4_max_rolling_mean_5,0.0031896831933408976,ROLLING_MEAN
delta_power_max_lag1,0.0031809378415346146,LAG1
max_max_rolling_mean_5,0.003134492551907897,ROLLING_MEAN
alpha_power_std_rolling_mean_5,0.003131516743451357,ROLLING_MEAN
theta_relative_mean_lag1,0.0031252410262823105,LAG1
sample_entropy_std_lag1,0.003125100629404187,LAG1
wavelet_energy_1_mean,0.003104529110714793,STATIC
